,Number of clusters,Linkage method,Clusters length
0,2,complete,"[894, 423]"
1,2,single,"[805, 512]"
2,2,average,"[1008, 309]"
3,2,centroid,"[949, 368]"
4,3,complete,"[512, 382, 423]"
5,3,single,"[485, 512, 320]"
6,3,average,"[512, 496, 309]"
7,3,centroid,"[448, 501, 368]"
8,4,complete,"[512, 382, 256, 167]"
9,4,single,"[485, 512, 256, 64]"
10,4,average,"[512, 496, 246, 63]"
11,4,centroid,"[448, 501, 256, 112]"
12,5,complete,"[512, 254, 256, 167, 128]"
13,5,single,"[485, 256, 256, 256, 64]"
14,5,average,"[512, 256, 246, 240, 63]"
15,5,centroid,"[448, 246, 256, 255, 112]"
16,6,complete,"[256, 256, 254, 256, 167, 128]"
17,6,single,"[256, 256, 256, 256, 229, 64]"
18,6,average,"[256, 256, 256, 246, 240, 63]"
19,6,centroid,"[256, 246, 256, 255, 192, 112]"
20,7,complete,"[256, 256, 254, 256, 111, 128, 56]"
21,7,single,"[256, 256, 256, 256, 128, 101, 64]"
22,7,average,"[256, 256, 256, 246, 128, 112, 63]"
23,7,centroid,"[256, 246, 256, 255, 128, 112, 64]"
24,8,complete,"[256, 256, 254, 128, 111, 128, 128, 56]"
25,8,single,"[256, 256, 256, 128, 128, 128, 101, 64]"
26,8,average,"[256, 256, 256, 128, 128, 112, 118, 63]"
27,8,centroid,"[256, 246, 256, 127, 128, 128, 112, 64]"
28,9,complete,"[256, 256, 128, 128, 126, 111, 128, 128, 56]"
29,9,single,"[256, 256, 128, 128, 128, 128, 128, 101, 64]"
30,9,average,"[256, 256, 128, 128, 128, 128, 112, 118, 63]"
31,9,centroid,"[256, 246, 128, 128, 127, 128, 128, 112, 64]"
32,10,complete,"[256, 128, 128, 128, 128, 126, 111, 128, 128, 56]"
33,10,single,"[256, 128, 128, 128, 128, 128, 128, 128, 101, 64]"
34,10,average,"[256, 128, 128, 128, 128, 128, 128, 112, 118, 63]"
35,10,centroid,"[256, 128, 128, 128, 127, 128, 118, 128, 112, 64]"
